CustomerID,FirstName,LastName,FullName,Gender,BirthDate,Age,City,JoinDate
C001,Michael,Davis,Michael Davis,M,1996-09-11,29,Osborneport,2022-09-25
C002,Michael,Miller,Michael Miller,M,1959-08-18,66,New Gabrielleport,2020-11-03
C003,Carol,Hays,Carol Hays,F,2005-04-19,20,Port Allen,2024-02-12
C004,Joseph,Ward,Joseph Ward,M,1992-06-16,33,East Edgarborough,2024-09-09
C005,Jamie,Salinas,Jamie Salinas,M,1992-06-18,33,Port Kimberly,2022-02-24
C006,Danny,Moore,Danny Moore,M,1986-10-03,39,Costaberg,2022-07-09
C007,Erin,Walker,Erin Walker,M,1985-01-11,41,West Jasmine,2021-10-13
C008,Isaiah,Williams,Isaiah Williams,M,1960-11-13,65,New Michaelland,2025-03-04
C009,Richard,Pacheco,Richard Pacheco,F,2004-08-15,21,West Lisaville,2025-04-17
C010,Catherine,Rice,Catherine Rice,M,1976-12-12,49,West Carol,2025-07-23
C011,Haley,Williams,Haley Williams,M,1997-03-03,29,Leburgh,2023-05-12
C012,Dale,Perry,Dale Perry,M,1989-12-08,36,Lake Dawn,2021-07-16
C013,Robert,Anderson,Robert Anderson,M,1955-01-28,71,Jillianhaven,2023-03-22
C014,Brittany,Green,Brittany Green,M,1974-06-25,51,East Samantha,2021-11-09
C015,Matthew,Molina,Matthew Molina,M,1993-12-12,32,Quinnville,2022-11-27
C016,Miguel,Johnson,Miguel Johnson,M,1976-04-27,49,Murrayborough,2022-02-21
C017,Vanessa,Anderson,Vanessa Anderson,F,1982-03-11,43,Peterside,2024-09-25
C018,Breanna,Davis,Breanna Davis,M,1994-08-19,31,East William,2024-11-12
C019,John,Smith,John Smith,F,1998-05-16,27,Stephaniechester,2023-05-17
C020,Ryan,Cole,Ryan Cole,F,1982-06-26,43,Travisstad,2024-04-19
C021,Debbie,Martin,Debbie Martin,M,1993-11-17,32,Meganmouth,2022-01-22
C022,Megan,Velasquez,Megan Velasquez,M,1955-11-16,70,East James,2020-10-02
C023,Mark,Martinez,Mark Martinez,F,1972-05-09,53,New Christophermouth,2020-10-19
C024,Molly,Murray,Molly Murray,F,1961-11-25,64,North April,2023-04-20
C025,Cheryl,Gilbert,Cheryl Gilbert,F,1971-03-12,54,Bradyshire,2022-01-14
C026,Justin,Macdonald,Justin Macdonald,M,2004-01-04,22,Shepherdburgh,2024-09-03
C027,Jacqueline,Martin,Jacqueline Martin,M,1959-02-05,67,Robertmouth,2023-08-30
C028,John,Carr,John Carr,F,1960-02-10,66,New David,2022-12-16
C029,Tyler,Levine,Tyler Levine,M,1978-05-20,47,West Charles,2021-08-30
C030,Lacey,Hall,Lacey Hall,M,2002-06-10,23,Thomashaven,2022-08-27
C031,Ashley,Gibson,Ashley Gibson,F,2003-03-14,22,East Carrieberg,2025-08-26
C032,Valerie,Macdonald,Valerie Macdonald,M,1992-11-09,33,East Shelby,2021-01-12
C033,Jenny,Beck,Jenny Beck,F,1978-07-27,47,Lake Cody,2025-03-17
C034,Kari,Miller,Kari Miller,F,1964-12-19,61,East Mary,2025-01-13
C035,Kimberly,King,Kimberly King,F,1991-04-19,34,North George,2023-03-22
C036,Michael,Cervantes,Michael Cervantes,M,1991-11-04,34,Ashleyview,2020-09-30
C037,Miranda,Nelson,Miranda Nelson,F,1982-08-30,43,West Melissahaven,2024-01-31
C038,Tracey,Davis,Tracey Davis,M,1974-04-19,51,Wilsonbury,2021-05-10
C039,Nancy,Savage,Nancy Savage,F,1996-11-02,29,Port Sandra,2022-10-17
C040,Scott,Powell,Scott Powell,M,1974-11-06,51,Port Miguel,2022-07-12
C041,Melissa,Rodgers,Melissa Rodgers,F,1980-07-03,45,North Sharontown,2023-01-24
C042,Anna,Andrews,Anna Andrews,F,2000-02-08,26,North Teresashire,2021-11-09
C043,Kenneth,Allen,Kenneth Allen,M,1988-09-14,37,North Jonathonhaven,2023-10-14
C044,Parker,Sparks,Parker Sparks,M,1961-02-14,65,Bryanside,2024-12-27
C045,Kelly,Shaw,Kelly Shaw,M,1975-12-28,50,Zacharyfort,2023-10-09
C046,Dennis,Poole,Dennis Poole,M,1964-01-21,62,New Jontown,2022-06-25
C047,Mary,Decker,Mary Decker,F,2006-07-03,19,Port Jessica,2025-02-25
